#=#=#=#=# Propagation starts 2022-02-03T15:19:19Z (last step: 254 msec , total: 254 msec) 
#=#=#=# Syncrun finished 2022-02-03T15:19:19Z (last step: 8 msec , total: 262 msec) 
#=#=#=# Syncrun started  2022-02-03T17:19:24Z 
#=#=#=#=# Propagation starts 2022-02-03T17:19:25Z (last step: 687 msec , total: 687 msec) 
#=#=#=# Syncrun finished 2022-02-03T17:19:25Z (last step: 8 msec , total: 695 msec) 
#=#=#=# Syncrun started  2022-02-03T19:19:29Z 
#=#=#=#=# Propagation starts 2022-02-03T19:19:30Z (last step: 684 msec , total: 684 msec) 
#=#=#=# Syncrun finished 2022-02-03T19:19:30Z (last step: 9 msec , total: 694 msec) 
#=#=#=# Syncrun started  2022-02-03T21:19:34Z 
#=#=#=#=# Propagation starts 2022-02-03T21:19:34Z (last step: 165 msec , total: 165 msec) 
#=#=#=# Syncrun finished 2022-02-03T21:19:34Z (last step: 9 msec , total: 175 msec) 
#=#=#=# Syncrun started  2022-02-03T23:19:39Z 
#=#=#=#=# Propagation starts 2022-02-03T23:19:39Z (last step: 160 msec , total: 160 msec) 
#=#=#=# Syncrun finished 2022-02-03T23:19:39Z (last step: 9 msec , total: 169 msec) 
#=#=#=# Syncrun started  2022-02-04T01:19:42Z 
#=#=#=#=# Propagation starts 2022-02-04T01:19:43Z (last step: 306 msec , total: 306 msec) 
#=#=#=# Syncrun finished 2022-02-04T01:19:43Z (last step: 7 msec , total: 314 msec) 
#=#=#=# Syncrun started  2022-02-04T03:19:47Z 
#=#=#=#=# Propagation starts 2022-02-04T03:19:48Z (last step: 349 msec , total: 349 msec) 
#=#=#=# Syncrun finished 2022-02-04T03:19:48Z (last step: 8 msec , total: 357 msec) 
#=#=#=# Syncrun started  2022-02-04T05:19:52Z 
#=#=#=#=# Propagation starts 2022-02-04T05:19:53Z (last step: 357 msec , total: 357 msec) 
#=#=#=# Syncrun finished 2022-02-04T05:19:53Z (last step: 7 msec , total: 365 msec) 
#=#=#=# Syncrun started  2022-02-04T07:19:57Z 
#=#=#=#=# Propagation starts 2022-02-04T07:19:58Z (last step: 335 msec , total: 335 msec) 
#=#=#=# Syncrun finished 2022-02-04T07:19:58Z (last step: 7 msec , total: 343 msec) 
#=#=#=# Syncrun started  2022-02-04T09:20:02Z 
#=#=#=#=# Propagation starts 2022-02-04T09:20:03Z (last step: 433 msec , total: 433 msec) 
#=#=#=# Syncrun finished 2022-02-04T09:20:03Z (last step: 8 msec , total: 441 msec) 
#=#=#=# Syncrun started  2022-02-04T11:20:07Z 
#=#=#=#=# Propagation starts 2022-02-04T11:20:08Z (last step: 886 msec , total: 886 msec) 
#=#=#=# Syncrun finished 2022-02-04T11:20:08Z (last step: 9 msec , total: 896 msec) 
#=#=#=# Syncrun started  2022-02-04T13:20:12Z 
#=#=#=#=# Propagation starts 2022-02-04T13:20:13Z (last step: 379 msec , total: 379 msec) 
#=#=#=# Syncrun finished 2022-02-04T13:20:13Z (last step: 8 msec , total: 387 msec) 
#=#=#=# Syncrun started  2022-02-04T15:20:17Z 
#=#=#=#=# Propagation starts 2022-02-04T15:20:18Z (last step: 402 msec , total: 402 msec) 
#=#=#=# Syncrun finished 2022-02-04T15:20:18Z (last step: 8 msec , total: 411 msec) 
#=#=#=# Syncrun started  2022-02-04T17:20:22Z 
#=#=#=#=# Propagation starts 2022-02-04T17:20:23Z (last step: 809 msec , total: 809 msec) 
#=#=#=# Syncrun finished 2022-02-04T17:20:23Z (last step: 8 msec , total: 818 msec) 
#=#=#=# Syncrun started  2022-02-04T19:20:27Z 
#=#=#=#=# Propagation starts 2022-02-04T19:20:28Z (last step: 575 msec , total: 575 msec) 
#=#=#=# Syncrun finished 2022-02-04T19:20:28Z (last step: 8 msec , total: 583 msec) 
#=#=#=# Syncrun started  2022-02-04T21:20:32Z 
#=#=#=#=# Propagation starts 2022-02-04T21:20:32Z (last step: 125 msec , total: 125 msec) 
#=#=#=# Syncrun finished 2022-02-04T21:20:32Z (last step: 8 msec , total: 133 msec) 
